id;initial;text;before;texten;scenarios;;;;
-1;Greets;Olá <name>, tu fostes convidad<gVogal> a participar de uma Aventura onde as tuas decisões afetam o que acontecerá na história e irão fazer com que tenhas uma vitória ou uma derrota! Estás pront<gVogal>?!?! Vamos começar!;Intro;Hello <name>, You have been invited to participate in an adventure, where your decisions affect the outcome of the story, be it victory or defeat. Are you ready?! Let's begin!;castle;;;;
0;Intro;Tu és o representante de um pequeno país. Teu povo vive feliz e canta pelas ruas.  \r\n\tContudo, o teu país recebeu uma ameaça de invasão de um país inimigo.  \r\n\tAgora, deverás tomar diversas decisões e as tuas escolhas irão determinar se o teu povo irá ou não cair nas mãos do inimigo.  \r\n\tDesde já, deves começar a agir e escolher uma das seguintes decisões:;DP1;You are the representitive of a small country. Your people live happily and sing on the streets.  \r\n\tHowever, your country receives the threat of invasion from an enemy country.  \r\n\tNow you will have to make decisions, and your choices will determine if your people will fall into the enemy's hands \r\n\tYou should start acting and making decisions right away:;castle;;;;
1;Sc1;Obedecendo-te os mensageiros correm pelas ruas avisando a todos para que se reúnam na praça central.  \r\n\tIndo para lá, tu percebes que há muitos murmúrios pelas ruas!  \r\n\tAo se aproximar da praça, uma pessoa pergunta-te se é verdade a ameaça de invasão.  \r\n\tTu respondes o seguinte: ;DG1;Obeying you, your messengers run through the streets warning everyone to come to the main square.  \r\n\tOn your way there you realize there is commotion on the streets!  \r\n\tCloser to the square someone approaches you and ask if the threat of invasion is true \r\n\tYou answer one of the following: ;market;;;;
2;Sc2;Ao Chegar ao palco tu respiras fundo e sobe as escadas para fazer o discurso.  \r\n\tSentes que deves fazer uma declaração que acalme a população, porque a espectativa de uma batalha está gerando o princípio do caos.  \r\n\tDeste modo, tu declaras que: ;DP2;When you reach the stage you take a deep breath and climb the stairs to make the speech \r\n\tYou feel like you should make a statement to calm the population, because the expectation for battle is starting to create chaos.  \r\n\tSo you declare that: ;market;;;;
3;Sc3;Então, tu vais para a tua residência e mandas começar os preparativos para o baile e avisa que será esta noite.  \r\n\tTu pensas se deves fazer um discurso no meio do baile.  \r\n\tPercebe-se que, ao faze-lo poderás deixar a população mais calma ou ter um efeito contrário.;DG2;So you go to your residence and order to start the preparations to the ball and warn everyone that it shall be tonight.  \r\n\tYou ponder if you should make a speech in the middle of the ball \r\n\tYou realize that by doing so you might leave the people more calm or have an adverse effect.  ;ball;;;;
4;Sc4;Chega a noite, a banda começa a tocar e todos se divertem.  \r\n\tNotas que o povo está se sentindo mais confiante para a batalha.  \r\n\tEm uma situação como essa, tu: ;DP4;At nightfall the band starts playing and everyone is having fun \r\n\tYou realize the people are feeling more confident for the battle \r\n\tIn a situation like this you: ;ball;;;;
5;Sc5;O teu objetivo foi alcançado, a população está mais tranquila e confiante.  \r\n\tNo final da festa dois conselheiros desejam conversar contigo.  \r\n\tO primeiro sugere que convides o líder que fez a ameaça para fazer uma visita. O outro, sugere que prepares as defesas o mais rapidamente possível.  \r\n\tDesta forma, tomas a seguinte decisão: ;DP7;Your objective was reached, the population is more calm and confident \r\n\tAfter the ball, two advisors come to you wishing to speak \r\n\tThe first one advises you to invite the enemys leader for a visit. The other suggests you to prepare your defenses as soon as possible \r\n\tSo you choose: ;ball;;;;
6;Sc6;Passou-se um dia desde que envias-te o mensageiro. Estás na sala de reuniões com alguns conselheiros.  \r\n\tUm deles informa que tens que reforçar as paredes do castelo, e outro que tens que reforçar o portão de entrada.  \r\n\tTu decides:;DG3;One day has passed since you sent the messenger. You are in the Meeting Hall with your advisors.  \r\n\tOne of them informs you that the castle walls need to be reinforced. Another one suggests you to reinforce the main gate.  \r\n\tYou decide: ;meeting;;;;
9;Sc9;Na sala de reuniões viram-se todos, pois a porta abre-se.  \r\n\tO seu convidado é anunciado.  \r\n\tApós algumas horas, ele começou a contar vantagens, e um conselheiro veio falar contigo informando que ele estava apenas enrolando.  \r\n\tDeste modo, qual a atitude que vais tomar?;DP10;The door of the meeting hall opens, and everyone turns to look.  \r\n\tYour guest is announced and comes into the room.  \r\n\tThe guest talks for a while and one of your advisors whisper to you that the enemy has been stalling you.  \r\n\tWhat shall you do?  ;meeting;;;;
10;Sc10;Passam-se horas e o inimigo só conversa, parece que ele está ganhando tempo para alguma coisa.  \r\n\tDeste modo, ;DP11;The enemy keeps talking like hes gaining time for something else.  \r\n\tWhat do you do?  ;meeting;;;;
11;Sc11;Ele sentiu-se ofendido por ter sido interrompido, fecha o punho e bate na mesa e retira-se da sala.  \r\n\tAntes de sair da sala ele se vira e grita: Tu vais se arrepender disso!;DG5;He felt offended to be interrupted, closes his fist, hits the table and leaves the room.  \r\n\tBefore he goes through the door, he turns and shouts: You will regret this! ;meeting;;;;
12;Sc12;Assim que ele sai da sala, descobres que um dos conselheiros havia enviado espiões para o país inimigo.  \r\n\tEles informam que o país inímigo tem 10 mil habitantes, sem conseguirem precisar quem é militar.  \r\n\tEm seguida, um conselheiro informa que nosso país tem uns 5 mil militares.  \r\n\tDesta forma, tens que decidir:;DP12;As soon as he left the room, you find that one of your advisors had sent spies to your enemys country.  \r\n\tThey inform you that they have 10 thousand habitants, without being able to precise how many are military.  \r\n\tAnother adviser informs you that our country has 5 thousand soldiers.  \r\n\tSo you have to decide: ;meeting;;;;
